month,town,flat_type,block,street_name,storey_range,flat_model,lease_commence_date,remaining_lease,resale_price,,,,,,,,
2019-03,BISHAN,4 ROOM,105,BISHAN ST 12,01 TO 03,Model A,1985,65 years 09 months,545000,,,,,,,,
2019-03,BISHAN,4 ROOM,109,BISHAN ST 12,07 TO 09,Model A,1985,65 years 10 months,638000,,,,,,,,
2019-03,BISHAN,4 ROOM,125,BISHAN ST 12,04 TO 06,Simplified,1987,67 years 03 months,445000,,,,,,,,
2019-03,BISHAN,4 ROOM,172,BISHAN ST 13,04 TO 06,Simplified,1987,67 years 09 months,483000,,,,,,,,
2019-03,BISHAN,4 ROOM,250,BISHAN ST 22,10 TO 12,Model A,1992,72 years 06 months,598000,,,,,,,,
2019-03,BISHAN,4 ROOM,254,BISHAN ST 22,01 TO 03,Model A,1992,72 years 05 months,500000,,,,,,,,
2019-03,BISHAN,4 ROOM,285,BISHAN ST 22,04 TO 06,Model A,1992,72 years 05 months,570000,,,,,,,,
2019-03,BISHAN,4 ROOM,254,BISHAN ST 22,01 TO 03,Model A,1992,72 years 05 months,460000,,,,,,,,
2019-03,BISHAN,4 ROOM,224,BISHAN ST 23,25 TO 27,Model A,1992,72 years 05 months,638000,,,,,,,,
2019-03,BISHAN,4 ROOM,209,BISHAN ST 23,01 TO 03,Model A,1992,72 years 01 month,572500,,,,,,,,
2019-03,BISHAN,4 ROOM,273B,BISHAN ST 24,01 TO 03,DBSS,2011,91 years 06 months,715000,,,,,,,,
2019-03,BISHAN,4 ROOM,275A,BISHAN ST 24,01 TO 03,DBSS,2011,91 years 06 months,745000,,,,,,,,
2019-03,BISHAN,4 ROOM,286,BISHAN ST 24,10 TO 12,Model A,1992,72 years 05 months,635000,,,,,,,,
2019-03,BISHAN,4 ROOM,271,BISHAN ST 24,13 TO 15,Model A,1992,72 years 05 months,600000,,,,,,,,
2019-03,BISHAN,4 ROOM,266,BISHAN ST 24,04 TO 06,Model A,1992,72 years 04 months,515000,,,,,,,,
2019-03,BISHAN,4 ROOM,455,SIN MING AVE,04 TO 06,Model A,1990,69 years 11 months,573000,,,,,,,,
2019-03,BISHAN,5 ROOM,138,BISHAN ST 12,01 TO 03,Improved,1987,67 years 05 months,660000,,,,,,,,
2019-03,BISHAN,5 ROOM,103,BISHAN ST 12,04 TO 06,Improved,1986,66 years 08 months,668000,,,,,,,,
2019-03,BISHAN,5 ROOM,170,BISHAN ST 13,01 TO 03,Improved,1987,67 years 07 months,580000,,,,,,,,
2019-03,BISHAN,5 ROOM,181,BISHAN ST 13,01 TO 03,Improved,1987,66 years 11 months,620000,,,,,,,,
2019-03,BISHAN,5 ROOM,179,BISHAN ST 13,01 TO 03,Improved,1987,67 years 05 months,675000,,,,,,,,
2019-03,BISHAN,5 ROOM,293,BISHAN ST 22,07 TO 09,Premium Apartment,1998,78 years 03 months,690000,,,,,,,,
2019-03,BISHAN,5 ROOM,275A,BISHAN ST 24,13 TO 15,DBSS,2011,91 years 06 months,996000,,,,,,,,
2019-03,BISHAN,5 ROOM,273A,BISHAN ST 24,04 TO 06,DBSS,2011,91 years 05 months,920000,,,,,,,,
2019-03,BISHAN,5 ROOM,408,SIN MING AVE,10 TO 12,Improved,1986,66 years 03 months,632000,,,,,,,,
2019-03,BISHAN,EXECUTIVE,186,BISHAN ST 13,04 TO 06,Maisonette,1987,67 years 05 months,920000,,,,,,,,
2019-03,BISHAN,EXECUTIVE,173,BISHAN ST 13,19 TO 21,Maisonette,1987,67 years 01 month,1145000,,,,,,,,
2019-04,BISHAN,3 ROOM,180,BISHAN ST 13,01 TO 03,Simplified,1988,68 years 01 month,375000,,,,,,,,
2019-04,BISHAN,3 ROOM,407,SIN MING AVE,13 TO 15,Simplified,1986,66 years 05 months,363000,,,,,,,,
2019-04,BISHAN,3 ROOM,406,SIN MING AVE,07 TO 09,Simplified,1987,67 years 01 month,366000,,,,,,,,
2019-04,BISHAN,4 ROOM,502,BISHAN ST 11,01 TO 03,Model A,1989,69 years 05 months,550000,,,,,,,,
2019-04,BISHAN,4 ROOM,126,BISHAN ST 12,04 TO 06,Simplified,1987,67 years 03 months,465000,,,,,,,,
2019-04,BISHAN,4 ROOM,113,BISHAN ST 12,04 TO 06,Simplified,1986,65 years 09 months,545000,,,,,,,,
2019-04,BISHAN,4 ROOM,109,BISHAN ST 12,10 TO 12,Simplified,1985,65 years 08 months,506000,,,,,,,,
2019-04,BISHAN,4 ROOM,172,BISHAN ST 13,04 TO 06,Simplified,1987,67 years 09 months,465000,,,,,,,,
2019-04,BISHAN,4 ROOM,220,BISHAN ST 23,07 TO 09,Model A,1992,72 years 04 months,600000,,,,,,,,
2019-04,BISHAN,4 ROOM,203,BISHAN ST 23,04 TO 06,Model A,1992,72 years,590000,,,,,,,,
2019-04,BISHAN,4 ROOM,278,BISHAN ST 24,13 TO 15,Model A,1992,72 years 04 months,660000,,,,,,,,
2019-04,BISHAN,4 ROOM,275A,BISHAN ST 24,37 TO 39,DBSS,2011,91 years 04 months,878000,,,,,,,,
2019-04,BISHAN,4 ROOM,448,BRIGHT HILL DR,04 TO 06,Model A,1990,70 years,550000,,,,,,,,
2019-04,BISHAN,4 ROOM,304,SHUNFU RD,13 TO 15,New Generation,1985,65 years,560000,,,,,,,,
2019-04,BISHAN,4 ROOM,451,SIN MING AVE,01 TO 03,Model A,1990,69 years 09 months,500000,,,,,,,,
2019-04,BISHAN,5 ROOM,140,BISHAN ST 12,04 TO 06,Improved,1988,68 years 04 months,660000,,,,,,,,
2019-04,BISHAN,5 ROOM,102,BISHAN ST 12,07 TO 09,Improved,1987,66 years 10 months,678000,,,,,,,,
2019-04,BISHAN,5 ROOM,126,BISHAN ST 12,07 TO 09,Improved,1987,67 years 03 months,777000,,,,,,,,
2019-04,BISHAN,5 ROOM,144,BISHAN ST 12,07 TO 09,Improved,1988,68 years 04 months,655000,,,,,,,,
2019-04,BISHAN,5 ROOM,190,BISHAN ST 13,04 TO 06,Improved,1987,66 years 09 months,710000,,,,,,,,
2019-04,BISHAN,5 ROOM,182,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,680000,,,,,,,,
2019-04,BISHAN,5 ROOM,163,BISHAN ST 13,19 TO 21,Improved,1988,68 years 03 months,758888,,,,,,,,
2019-04,BISHAN,5 ROOM,273B,BISHAN ST 24,34 TO 36,DBSS,2011,91 years 05 months,1056000,,,,,,,,
2019-04,BISHAN,5 ROOM,291,BISHAN ST 24,28 TO 30,Premium Apartment,1998,78 years 02 months,888000,,,,,,,,
2019-04,BISHAN,5 ROOM,290,BISHAN ST 24,10 TO 12,Premium Apartment,1998,78 years 02 months,665000,,,,,,,,
2019-04,BISHAN,5 ROOM,402,SIN MING AVE,19 TO 21,Improved,1986,65 years 09 months,698888,,,,,,,,
2019-04,BISHAN,EXECUTIVE,162,BISHAN ST 13,01 TO 03,Maisonette,1988,67 years 10 months,770000,,,,,,,,
2019-04,BISHAN,EXECUTIVE,168,BISHAN ST 13,19 TO 21,Maisonette,1986,66 years 07 months,1008000,,,,,,,,
2019-04,BISHAN,EXECUTIVE,257,BISHAN ST 22,04 TO 06,Maisonette,1992,72 years 03 months,710000,,,,,,,,
2019-04,BISHAN,EXECUTIVE,222,BISHAN ST 23,10 TO 12,Maisonette,1992,72 years 04 months,863000,,,,,,,,
2019-04,BISHAN,EXECUTIVE,231,BISHAN ST 23,10 TO 12,Maisonette,1992,71 years 11 months,925000,,,,,,,,
2019-04,BISHAN,EXECUTIVE,301,SHUNFU RD,01 TO 03,Maisonette,1985,65 years 04 months,965000,,,,,,,,
2019-05,BISHAN,3 ROOM,120,BISHAN ST 12,01 TO 03,Simplified,1986,66 years,360000,,,,,,,,
2019-05,BISHAN,3 ROOM,171,BISHAN ST 13,10 TO 12,Simplified,1988,67 years 08 months,378888,,,,,,,,
2019-05,BISHAN,4 ROOM,149,BISHAN ST 11,04 TO 06,Model A,1987,66 years 08 months,510000,,,,,,,,
2019-05,BISHAN,4 ROOM,506,BISHAN ST 11,13 TO 15,Model A,1989,69 years 04 months,720000,,,,,,,,
2019-05,BISHAN,4 ROOM,131,BISHAN ST 12,10 TO 12,Simplified,1986,65 years 08 months,521000,,,,,,,,
2019-05,BISHAN,4 ROOM,112,BISHAN ST 12,04 TO 06,Model A,1985,65 years 01 month,590000,,,,,,,,
2019-05,BISHAN,4 ROOM,167,BISHAN ST 13,04 TO 06,Simplified,1988,68 years 05 months,388000,,,,,,,,
2019-05,BISHAN,4 ROOM,260,BISHAN ST 22,01 TO 03,Model A,1992,72 years 03 months,590000,,,,,,,,
2019-05,BISHAN,4 ROOM,232,BISHAN ST 22,04 TO 06,Model A,1992,71 years 11 months,500000,,,,,,,,
2019-05,BISHAN,4 ROOM,213,BISHAN ST 23,04 TO 06,Model A,1992,72 years,550000,,,,,,,,
2019-05,BISHAN,4 ROOM,224,BISHAN ST 23,04 TO 06,Model A,1992,72 years 03 months,570000,,,,,,,,
2019-05,BISHAN,4 ROOM,454,SIN MING AVE,01 TO 03,Model A,1989,69 years 06 months,450000,,,,,,,,
2019-05,BISHAN,4 ROOM,451,SIN MING AVE,01 TO 03,Model A,1990,69 years 08 months,540000,,,,,,,,
2019-05,BISHAN,5 ROOM,117,BISHAN ST 12,22 TO 24,Improved,1987,67 years 03 months,833000,,,,,,,,
2019-05,BISHAN,5 ROOM,135,BISHAN ST 12,04 TO 06,Improved,1987,67 years 02 months,675000,,,,,,,,
2019-05,BISHAN,5 ROOM,135,BISHAN ST 12,16 TO 18,Improved,1987,67 years 01 month,678000,,,,,,,,
2019-05,BISHAN,5 ROOM,144,BISHAN ST 12,01 TO 03,Improved,1988,68 years 03 months,630000,,,,,,,,
2019-05,BISHAN,5 ROOM,172,BISHAN ST 13,04 TO 06,Improved,1987,67 years 08 months,638000,,,,,,,,
2019-05,BISHAN,5 ROOM,190,BISHAN ST 13,13 TO 15,Improved,1987,66 years 08 months,785000,,,,,,,,
2019-05,BISHAN,5 ROOM,163,BISHAN ST 13,04 TO 06,Improved,1988,68 years 02 months,690000,,,,,,,,
2019-05,BISHAN,5 ROOM,153,BISHAN ST 13,01 TO 03,Improved,1987,67 years 05 months,685000,,,,,,,,
2019-05,BISHAN,5 ROOM,249,BISHAN ST 22,07 TO 09,Model A,1992,72 years 03 months,780000,,,,,,,,
2019-05,BISHAN,5 ROOM,292,BISHAN ST 22,13 TO 15,Premium Apartment,1998,78 years 01 month,815000,,,,,,,,
2019-05,BISHAN,5 ROOM,275A,BISHAN ST 24,28 TO 30,DBSS,2011,91 years 04 months,1080000,,,,,,,,
2019-05,BISHAN,5 ROOM,310,SHUNFU RD,10 TO 12,Improved,1984,64 years 08 months,718000,,,,,,,,
2019-05,BISHAN,5 ROOM,444,SIN MING AVE,22 TO 24,Improved,1990,69 years 09 months,760000,,,,,,,,
2019-05,BISHAN,5 ROOM,454,SIN MING AVE,07 TO 09,Improved,1989,69 years 06 months,690000,,,,,,,,
2019-05,BISHAN,5 ROOM,442,SIN MING AVE,07 TO 09,Improved,1990,69 years 09 months,700000,,,,,,,,
2019-06,BISHAN,3 ROOM,116,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 06 months,390000,,,,,,,,
2019-06,BISHAN,3 ROOM,189,BISHAN ST 13,01 TO 03,Simplified,1988,68 years,405000,,,,,,,,
2019-06,BISHAN,3 ROOM,185,BISHAN ST 13,07 TO 09,Simplified,1988,67 years 10 months,415000,,,,,,,,
2019-06,BISHAN,3 ROOM,176,BISHAN ST 13,07 TO 09,Simplified,1988,67 years 10 months,395000,,,,,,,,
2019-06,BISHAN,3 ROOM,23,SIN MING RD,07 TO 09,Improved,1973,53 years 04 months,246000,,,,,,,,
2019-06,BISHAN,4 ROOM,149,BISHAN ST 11,07 TO 09,Simplified,1987,66 years 07 months,470000,,,,,,,,
2019-06,BISHAN,4 ROOM,131,BISHAN ST 12,01 TO 03,Model A,1986,65 years 07 months,608000,,,,,,,,
2019-06,BISHAN,4 ROOM,167,BISHAN ST 13,01 TO 03,Simplified,1988,68 years 03 months,390000,,,,,,,,
2019-06,BISHAN,4 ROOM,175,BISHAN ST 13,01 TO 03,Simplified,1987,67 years 03 months,370000,,,,,,,,
2019-06,BISHAN,4 ROOM,154,BISHAN ST 13,07 TO 09,Simplified,1987,67 years 06 months,460000,,,,,,,,
2019-06,BISHAN,4 ROOM,154,BISHAN ST 13,04 TO 06,Simplified,1987,67 years 06 months,475000,,,,,,,,
2019-06,BISHAN,4 ROOM,263,BISHAN ST 22,01 TO 03,Model A,1992,72 years 02 months,515888,,,,,,,,
2019-06,BISHAN,4 ROOM,239,BISHAN ST 22,01 TO 03,Model A,1992,72 years 02 months,448000,,,,,,,,
2019-06,BISHAN,4 ROOM,207,BISHAN ST 23,07 TO 09,Model A,1992,71 years 11 months,620000,,,,,,,,
2019-06,BISHAN,4 ROOM,220,BISHAN ST 23,07 TO 09,Model A,1992,72 years 02 months,653000,,,,,,,,
2019-06,BISHAN,4 ROOM,224,BISHAN ST 23,07 TO 09,Model A,1992,72 years 02 months,595000,,,,,,,,
2019-06,BISHAN,4 ROOM,229,BISHAN ST 23,04 TO 06,Model A,1992,71 years 10 months,475000,,,,,,,,
2019-06,BISHAN,4 ROOM,264,BISHAN ST 24,04 TO 06,Model A,1992,72 years 02 months,550000,,,,,,,,
2019-06,BISHAN,4 ROOM,403,SIN MING AVE,04 TO 06,Simplified,1986,66 years 03 months,500000,,,,,,,,
2019-06,BISHAN,5 ROOM,117,BISHAN ST 12,10 TO 12,Improved,1987,67 years 02 months,748000,,,,,,,,
2019-06,BISHAN,5 ROOM,135,BISHAN ST 12,07 TO 09,Improved,1987,67 years 04 months,638000,,,,,,,,
2019-06,BISHAN,5 ROOM,192,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,715000,,,,,,,,
2019-06,BISHAN,5 ROOM,177,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,630000,,,,,,,,
2019-06,BISHAN,5 ROOM,163,BISHAN ST 13,13 TO 15,Improved,1988,68 years 01 month,742000,,,,,,,,
2019-06,BISHAN,5 ROOM,183,BISHAN ST 13,10 TO 12,Improved,1987,66 years 10 months,782000,,,,,,,,
2019-06,BISHAN,5 ROOM,178,BISHAN ST 13,07 TO 09,Improved,1987,67 years 04 months,765000,,,,,,,,
2019-06,BISHAN,5 ROOM,223,BISHAN ST 23,07 TO 09,Improved,1992,72 years 01 month,858000,,,,,,,,
2019-06,BISHAN,5 ROOM,266,BISHAN ST 24,10 TO 12,Model A,1992,72 years 02 months,710000,,,,,,,,
2019-06,BISHAN,5 ROOM,273A,BISHAN ST 24,13 TO 15,DBSS,2011,91 years 03 months,860000,,,,,,,,
2019-06,BISHAN,5 ROOM,275A,BISHAN ST 24,31 TO 33,DBSS,2011,91 years 02 months,1000000,,,,,,,,
2019-06,BISHAN,5 ROOM,442,SIN MING AVE,01 TO 03,Improved,1990,69 years 08 months,635000,,,,,,,,
2019-06,BISHAN,EXECUTIVE,134,BISHAN ST 12,04 TO 06,Apartment,1986,66 years 05 months,830000,,,,,,,,
2019-06,BISHAN,EXECUTIVE,174,BISHAN ST 13,01 TO 03,Maisonette,1986,66 years 05 months,850000,,,,,,,,
2019-06,BISHAN,EXECUTIVE,231,BISHAN ST 23,01 TO 03,Maisonette,1992,71 years 11 months,840000,,,,,,,,
2019-06,BISHAN,EXECUTIVE,222,BISHAN ST 23,10 TO 12,Maisonette,1992,72 years 02 months,885000,,,,,,,,
2019-06,BISHAN,EXECUTIVE,453,SIN MING AVE,13 TO 15,Maisonette,1990,69 years 08 months,950000,,,,,,,,
2019-06,BISHAN,MULTI-GENERATION,137,BISHAN ST 12,07 TO 09,Multi Generation,1987,67 years 08 months,840000,,,,,,,,
2019-07,BISHAN,3 ROOM,180,BISHAN ST 13,07 TO 09,Simplified,1988,67 years 09 months,405000,,,,,,,,
2019-07,BISHAN,3 ROOM,176,BISHAN ST 13,04 TO 06,Simplified,1988,67 years 09 months,375000,,,,,,,,
2019-07,BISHAN,3 ROOM,311,SHUNFU RD,01 TO 03,New Generation,1984,64 years 04 months,390000,,,,,,,,
2019-07,BISHAN,3 ROOM,304,SHUNFU RD,13 TO 15,New Generation,1985,64 years 08 months,450000,,,,,,,,
2019-07,BISHAN,3 ROOM,403,SIN MING AVE,10 TO 12,Simplified,1986,66 years 01 month,382000,,,,,,,,
2019-07,BISHAN,3 ROOM,23,SIN MING RD,10 TO 12,Improved,1973,53 years 03 months,266000,,,,,,,,
2019-07,BISHAN,4 ROOM,503,BISHAN ST 11,04 TO 06,Model A,1989,69 years 04 months,769000,,,,,,,,
2019-07,BISHAN,4 ROOM,112,BISHAN ST 12,07 TO 09,Simplified,1985,64 years 11 months,505000,,,,,,,,
2019-07,BISHAN,4 ROOM,113,BISHAN ST 12,07 TO 09,Model A,1986,65 years 06 months,628000,,,,,,,,
2019-07,BISHAN,4 ROOM,107,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 04 months,475000,,,,,,,,
2019-07,BISHAN,4 ROOM,172,BISHAN ST 13,04 TO 06,Model A,1987,67 years 05 months,505000,,,,,,,,
2019-07,BISHAN,4 ROOM,184,BISHAN ST 13,04 TO 06,Simplified,1988,67 years 07 months,550888,,,,,,,,
2019-07,BISHAN,4 ROOM,243,BISHAN ST 22,04 TO 06,Model A,1992,71 years 11 months,568000,,,,,,,,
2019-07,BISHAN,4 ROOM,243,BISHAN ST 22,16 TO 18,Model A,1992,71 years 11 months,650000,,,,,,,,
2019-07,BISHAN,4 ROOM,285,BISHAN ST 22,07 TO 09,Model A,1992,72 years,635000,,,,,,,,
2019-07,BISHAN,4 ROOM,291,BISHAN ST 24,19 TO 21,Premium Apartment,1998,77 years 11 months,610000,,,,,,,,
2019-07,BISHAN,4 ROOM,265,BISHAN ST 24,01 TO 03,Model A,1992,71 years 11 months,462000,,,,,,,,
2019-07,BISHAN,4 ROOM,288,BISHAN ST 24,10 TO 12,Premium Apartment,1998,77 years 11 months,628000,,,,,,,,
2019-07,BISHAN,4 ROOM,406,SIN MING AVE,07 TO 09,Simplified,1987,66 years 09 months,520000,,,,,,,,
2019-07,BISHAN,5 ROOM,128,BISHAN ST 12,16 TO 18,Improved,1987,66 years 08 months,750000,,,,,,,,
2019-07,BISHAN,5 ROOM,103,BISHAN ST 12,19 TO 21,Improved,1986,66 years 04 months,773888,,,,,,,,
2019-07,BISHAN,5 ROOM,124,BISHAN ST 12,07 TO 09,Improved,1987,66 years 11 months,725000,,,,,,,,
2019-07,BISHAN,5 ROOM,153,BISHAN ST 13,07 TO 09,Improved,1987,67 years 03 months,670000,,,,,,,,
2019-07,BISHAN,5 ROOM,192,BISHAN ST 13,07 TO 09,Improved,1987,67 years 01 month,740000,,,,,,,,
2019-07,BISHAN,5 ROOM,164,BISHAN ST 13,10 TO 12,Improved,1988,68 years,708888,,,,,,,,
2019-07,BISHAN,5 ROOM,153,BISHAN ST 13,04 TO 06,Improved,1987,67 years 03 months,668000,,,,,,,,
2019-07,BISHAN,5 ROOM,179,BISHAN ST 13,13 TO 15,Improved,1987,67 years 01 month,792000,,,,,,,,
2019-07,BISHAN,5 ROOM,183,BISHAN ST 13,16 TO 18,Improved,1987,66 years 09 months,800000,,,,,,,,
2019-07,BISHAN,5 ROOM,242,BISHAN ST 22,10 TO 12,Improved,1992,71 years 11 months,850000,,,,,,,,
2019-07,BISHAN,5 ROOM,256,BISHAN ST 22,10 TO 12,Model A,1992,72 years,790000,,,,,,,,
2019-07,BISHAN,5 ROOM,288,BISHAN ST 24,19 TO 21,Premium Apartment,1998,78 years,755888,,,,,,,,
2019-07,BISHAN,5 ROOM,291,BISHAN ST 24,25 TO 27,Premium Apartment,1998,77 years 11 months,868000,,,,,,,,
2019-07,BISHAN,5 ROOM,273B,BISHAN ST 24,10 TO 12,DBSS,2011,91 years 01 month,1050000,,,,,,,,
2019-07,BISHAN,5 ROOM,402,SIN MING AVE,22 TO 24,Improved,1986,65 years 07 months,720000,,,,,,,,
2019-07,BISHAN,5 ROOM,405,SIN MING AVE,01 TO 03,Improved,1986,65 years 11 months,558000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,119,BISHAN ST 12,04 TO 06,Apartment,1987,66 years 10 months,858000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,186,BISHAN ST 13,10 TO 12,Maisonette,1987,67 years 02 months,905000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,187,BISHAN ST 13,07 TO 09,Maisonette,1987,66 years 07 months,920000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,222,BISHAN ST 23,04 TO 06,Maisonette,1992,71 years 11 months,838000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,212,BISHAN ST 23,04 TO 06,Maisonette,1992,71 years 10 months,858000,,,,,,,,
2019-07,BISHAN,EXECUTIVE,301,SHUNFU RD,01 TO 03,Maisonette,1985,65 years 02 months,968000,,,,,,,,
2019-07,BISHAN,MULTI-GENERATION,137,BISHAN ST 12,10 TO 12,Multi Generation,1987,66 years 11 months,930000,,,,,,,,
2019-08,BISHAN,4 ROOM,110,BISHAN ST 12,01 TO 03,Model A,1986,65 years 06 months,590000,,,,,,,,
2019-08,BISHAN,4 ROOM,112,BISHAN ST 12,04 TO 06,Simplified,1985,64 years 10 months,488000,,,,,,,,
2019-08,BISHAN,4 ROOM,197,BISHAN ST 13,01 TO 03,Simplified,1987,66 years 05 months,450000,,,,,,,,
2019-08,BISHAN,4 ROOM,252,BISHAN ST 22,19 TO 21,Model A,1992,72 years,688888,,,,,,,,
2019-08,BISHAN,4 ROOM,246,BISHAN ST 22,10 TO 12,Model A,1992,72 years,553000,,,,,,,,
2019-08,BISHAN,4 ROOM,239,BISHAN ST 22,07 TO 09,Model A,1992,72 years,560000,,,,,,,,
2019-08,BISHAN,4 ROOM,262,BISHAN ST 22,04 TO 06,Model A,1992,72 years,519888,,,,,,,,
2019-08,BISHAN,4 ROOM,248,BISHAN ST 22,01 TO 03,Model A,1992,72 years,560000,,,,,,,,
2019-08,BISHAN,4 ROOM,206,BISHAN ST 23,07 TO 09,Model A,1992,71 years 09 months,625000,,,,,,,,
2019-08,BISHAN,4 ROOM,220,BISHAN ST 23,04 TO 06,Model A,1992,72 years,562000,,,,,,,,
2019-08,BISHAN,4 ROOM,272,BISHAN ST 24,04 TO 06,Model A,1992,72 years,565000,,,,,,,,
2019-08,BISHAN,4 ROOM,269,BISHAN ST 24,10 TO 12,Model A,1992,71 years 11 months,595000,,,,,,,,
2019-08,BISHAN,4 ROOM,272,BISHAN ST 24,04 TO 06,Model A,1992,71 years 11 months,570000,,,,,,,,
2019-08,BISHAN,4 ROOM,443,SIN MING AVE,07 TO 09,Model A,1990,69 years 06 months,602000,,,,,,,,
2019-08,BISHAN,4 ROOM,407,SIN MING AVE,01 TO 03,Simplified,1986,66 years,493000,,,,,,,,
2019-08,BISHAN,5 ROOM,157,BISHAN ST 13,19 TO 21,Improved,1988,67 years 05 months,815000,,,,,,,,
2019-08,BISHAN,5 ROOM,251,BISHAN ST 22,01 TO 03,Improved,1992,71 years 11 months,768000,,,,,,,,
2019-08,BISHAN,5 ROOM,255,BISHAN ST 22,10 TO 12,Model A,1992,71 years 11 months,818000,,,,,,,,
2019-08,BISHAN,5 ROOM,293,BISHAN ST 22,19 TO 21,Premium Apartment,1998,77 years 10 months,825000,,,,,,,,
2019-08,BISHAN,5 ROOM,213,BISHAN ST 23,07 TO 09,Model A,1992,71 years 09 months,822000,,,,,,,,
2019-08,BISHAN,5 ROOM,273B,BISHAN ST 24,22 TO 24,DBSS,2011,90 years 11 months,1065000,,,,,,,,
2019-08,BISHAN,5 ROOM,275A,BISHAN ST 24,19 TO 21,DBSS,2011,90 years 11 months,1000000,,,,,,,,
2019-08,BISHAN,5 ROOM,303,SHUNFU RD,01 TO 03,Improved,1985,64 years 07 months,750000,,,,,,,,
2019-08,BISHAN,5 ROOM,312,SHUNFU RD,04 TO 06,Improved,1985,64 years 10 months,680000,,,,,,,,
2019-08,BISHAN,EXECUTIVE,119,BISHAN ST 12,13 TO 15,Apartment,1987,66 years 10 months,850000,,,,,,,,
2019-08,BISHAN,EXECUTIVE,174,BISHAN ST 13,01 TO 03,Maisonette,1986,66 years 03 months,795000,,,,,,,,
2019-08,BISHAN,EXECUTIVE,187,BISHAN ST 13,04 TO 06,Maisonette,1987,66 years 06 months,873000,,,,,,,,
2019-08,BISHAN,EXECUTIVE,201,BISHAN ST 23,01 TO 03,Maisonette,1992,71 years 09 months,808000,,,,,,,,
2019-08,BISHAN,EXECUTIVE,401,SIN MING AVE,01 TO 03,Maisonette,1985,65 years 03 months,905000,,,,,,,,
2019-09,BISHAN,3 ROOM,108,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 01 month,386100,,,,,,,,
2019-09,BISHAN,3 ROOM,195,BISHAN ST 13,07 TO 09,Simplified,1988,67 years 05 months,410000,,,,,,,,
2019-09,BISHAN,3 ROOM,304,SHUNFU RD,07 TO 09,New Generation,1985,64 years 06 months,390000,,,,,,,,
2019-09,BISHAN,4 ROOM,130,BISHAN ST 12,04 TO 06,Model A,1986,65 years 06 months,550000,,,,,,,,
2019-09,BISHAN,4 ROOM,106,BISHAN ST 12,10 TO 12,Simplified,1985,65 years 03 months,525000,,,,,,,,
2019-09,BISHAN,4 ROOM,113,BISHAN ST 12,07 TO 09,Model A,1986,65 years 04 months,620000,,,,,,,,
2019-09,BISHAN,4 ROOM,188,BISHAN ST 13,10 TO 12,Simplified,1988,67 years 06 months,572000,,,,,,,,
2019-09,BISHAN,4 ROOM,271,BISHAN ST 24,07 TO 09,Model A,1992,71 years 11 months,556000,,,,,,,,
2019-09,BISHAN,4 ROOM,273A,BISHAN ST 24,40 TO 42,DBSS,2011,90 years 11 months,900000,,,,,,,,
2019-09,BISHAN,4 ROOM,441,SIN MING AVE,10 TO 12,Model A,1990,69 years 06 months,573000,,,,,,,,
2019-09,BISHAN,4 ROOM,407,SIN MING AVE,10 TO 12,Simplified,1986,65 years 11 months,508000,,,,,,,,
2019-09,BISHAN,4 ROOM,454,SIN MING AVE,04 TO 06,Model A,1989,69 years 02 months,500000,,,,,,,,
2019-09,BISHAN,4 ROOM,454,SIN MING AVE,07 TO 09,Model A,1989,69 years 02 months,560000,,,,,,,,
2019-09,BISHAN,5 ROOM,124,BISHAN ST 12,04 TO 06,Improved,1987,66 years 09 months,650000,,,,,,,,
2019-09,BISHAN,5 ROOM,155,BISHAN ST 13,19 TO 21,Improved,1987,67 years 03 months,738000,,,,,,,,
2019-09,BISHAN,5 ROOM,161,BISHAN ST 13,16 TO 18,Improved,1988,67 years 10 months,735000,,,,,,,,
2019-09,BISHAN,5 ROOM,153,BISHAN ST 13,01 TO 03,Improved,1987,67 years 01 month,638000,,,,,,,,
2019-09,BISHAN,5 ROOM,190,BISHAN ST 13,16 TO 18,Improved,1987,66 years 04 months,850000,,,,,,,,
2019-09,BISHAN,5 ROOM,235,BISHAN ST 22,07 TO 09,Model A,1992,71 years 08 months,788000,,,,,,,,
2019-09,BISHAN,5 ROOM,203,BISHAN ST 23,07 TO 09,Model A,1992,71 years 08 months,770000,,,,,,,,
2019-09,BISHAN,5 ROOM,225,BISHAN ST 23,04 TO 06,Model A,1992,71 years 11 months,665000,,,,,,,,
2019-09,BISHAN,5 ROOM,223,BISHAN ST 23,07 TO 09,Improved,1992,71 years 11 months,850000,,,,,,,,
2019-09,BISHAN,5 ROOM,310,SHUNFU RD,04 TO 06,Improved,1984,64 years 04 months,690000,,,,,,,,
2019-09,BISHAN,5 ROOM,303,SHUNFU RD,10 TO 12,Improved,1985,64 years 06 months,728000,,,,,,,,
