month,town,flat_type,block,street_name,storey_range,flat_model,lease_commence_date,remaining_lease,resale_price,,,,,,,,
2018-10,BISHAN,4 ROOM,151,BISHAN ST 11,04 TO 06,Simplified,1989,69 years 05 months,395000,,,,,,,,
2018-10,BISHAN,4 ROOM,127,BISHAN ST 12,10 TO 12,Simplified,1986,67 years 02 months,465000,,,,,,,,
2018-10,BISHAN,4 ROOM,107,BISHAN ST 12,10 TO 12,Model A,1985,66 years 01 month,673000,,,,,,,,
2018-10,BISHAN,4 ROOM,113,BISHAN ST 12,10 TO 12,Simplified,1986,66 years 03 months,548000,,,,,,,,
2018-10,BISHAN,4 ROOM,259,BISHAN ST 22,07 TO 09,Model A,1992,72 years 10 months,585000,,,,,,,,
2018-10,BISHAN,4 ROOM,236,BISHAN ST 22,07 TO 09,Model A,1992,72 years 07 months,605000,,,,,,,,
2018-10,BISHAN,4 ROOM,235,BISHAN ST 22,10 TO 12,Model A,1992,72 years 06 months,613000,,,,,,,,
2018-10,BISHAN,4 ROOM,293,BISHAN ST 22,22 TO 24,Premium Apartment,1998,78 years 08 months,755000,,,,,,,,
2018-10,BISHAN,4 ROOM,206,BISHAN ST 23,01 TO 03,Model A,1992,72 years 07 months,581888,,,,,,,,
2018-10,BISHAN,4 ROOM,272,BISHAN ST 24,10 TO 12,Model A,1992,72 years 10 months,609000,,,,,,,,
2018-10,BISHAN,4 ROOM,272,BISHAN ST 24,04 TO 06,Model A,1992,72 years 10 months,572000,,,,,,,,
2018-10,BISHAN,4 ROOM,268,BISHAN ST 24,01 TO 03,Model A,1992,72 years 09 months,518000,,,,,,,,
2018-10,BISHAN,4 ROOM,312,SHUNFU RD,07 TO 09,New Generation,1985,65 years 08 months,573000,,,,,,,,
2018-10,BISHAN,4 ROOM,403,SIN MING AVE,07 TO 09,Simplified,1986,66 years 10 months,522000,,,,,,,,
2018-10,BISHAN,4 ROOM,449,SIN MING AVE,04 TO 06,Model A,1990,70 years 05 months,548000,,,,,,,,
2018-10,BISHAN,5 ROOM,136,BISHAN ST 12,04 TO 06,Improved,1987,68 years 01 month,610000,,,,,,,,
2018-10,BISHAN,5 ROOM,168,BISHAN ST 13,01 TO 03,Improved,1986,67 years 01 month,665000,,,,,,,,
2018-10,BISHAN,5 ROOM,156,BISHAN ST 13,04 TO 06,Improved,1988,69 years,710000,,,,,,,,
2018-10,BISHAN,5 ROOM,158,BISHAN ST 13,07 TO 09,Improved,1988,68 years 04 months,760000,,,,,,,,
2018-10,BISHAN,5 ROOM,190,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,680000,,,,,,,,
2018-10,BISHAN,5 ROOM,190,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,695000,,,,,,,,
2018-10,BISHAN,5 ROOM,156,BISHAN ST 13,01 TO 03,Improved,1988,68 years 11 months,590000,,,,,,,,
2018-10,BISHAN,5 ROOM,196,BISHAN ST 13,01 TO 03,Improved,1987,67 years 03 months,748000,,,,,,,,
2018-10,BISHAN,5 ROOM,250,BISHAN ST 22,04 TO 06,Model A,1992,72 years 10 months,745000,,,,,,,,
2018-10,BISHAN,5 ROOM,255,BISHAN ST 22,10 TO 12,Model A,1992,72 years 10 months,780000,,,,,,,,
2018-10,BISHAN,5 ROOM,275A,BISHAN ST 24,34 TO 36,DBSS,2011,91 years 11 months,1076000,,,,,,,,
2018-10,BISHAN,5 ROOM,273B,BISHAN ST 24,01 TO 03,DBSS,2011,91 years 10 months,857500,,,,,,,,
2018-10,BISHAN,5 ROOM,303,SHUNFU RD,10 TO 12,Improved,1985,65 years 05 months,720000,,,,,,,,
2018-10,BISHAN,EXECUTIVE,101,BISHAN ST 12,22 TO 24,Maisonette,1987,67 years 03 months,996000,,,,,,,,
2018-10,BISHAN,EXECUTIVE,179,BISHAN ST 13,22 TO 24,Maisonette,1987,67 years 10 months,1138000,,,,,,,,
2018-10,BISHAN,EXECUTIVE,179,BISHAN ST 13,22 TO 24,Maisonette,1987,67 years 10 months,1098888,,,,,,,,
2018-10,BISHAN,EXECUTIVE,219,BISHAN ST 23,01 TO 03,Maisonette,1992,72 years 07 months,850000,,,,,,,,
2018-10,BISHAN,EXECUTIVE,452,SIN MING AVE,01 TO 03,Maisonette,1989,69 years 10 months,830000,,,,,,,,
2018-11,BISHAN,3 ROOM,176,BISHAN ST 13,07 TO 09,Simplified,1988,68 years 05 months,375000,,,,,,,,
2018-11,BISHAN,3 ROOM,309,SHUNFU RD,01 TO 03,New Generation,1984,65 years,367000,,,,,,,,
2018-11,BISHAN,3 ROOM,304,SHUNFU RD,04 TO 06,New Generation,1985,65 years 04 months,420000,,,,,,,,
2018-11,BISHAN,4 ROOM,147,BISHAN ST 11,04 TO 06,Simplified,1987,67 years 04 months,420000,,,,,,,,
2018-11,BISHAN,4 ROOM,501,BISHAN ST 11,07 TO 09,Model A,1989,69 years 10 months,703000,,,,,,,,
2018-11,BISHAN,4 ROOM,145,BISHAN ST 11,07 TO 09,Simplified,1987,67 years 11 months,458000,,,,,,,,
2018-11,BISHAN,4 ROOM,125,BISHAN ST 12,07 TO 09,Simplified,1987,67 years 07 months,530000,,,,,,,,
2018-11,BISHAN,4 ROOM,131,BISHAN ST 12,13 TO 15,Model A,1986,66 years 02 months,650000,,,,,,,,
2018-11,BISHAN,4 ROOM,106,BISHAN ST 12,04 TO 06,Simplified,1985,66 years,480000,,,,,,,,
2018-11,BISHAN,4 ROOM,113,BISHAN ST 12,07 TO 09,Simplified,1986,66 years 02 months,495000,,,,,,,,
2018-11,BISHAN,4 ROOM,123,BISHAN ST 12,10 TO 12,Simplified,1986,66 years 03 months,448000,,,,,,,,
2018-11,BISHAN,4 ROOM,140,BISHAN ST 12,01 TO 03,Model A,1988,68 years 09 months,515000,,,,,,,,
2018-11,BISHAN,4 ROOM,157,BISHAN ST 13,04 TO 06,Model A,1988,68 years 03 months,492000,,,,,,,,
2018-11,BISHAN,4 ROOM,167,BISHAN ST 13,07 TO 09,Model A,1988,68 years 10 months,548000,,,,,,,,
2018-11,BISHAN,4 ROOM,260,BISHAN ST 22,04 TO 06,Model A,1992,72 years 09 months,541000,,,,,,,,
2018-11,BISHAN,4 ROOM,275A,BISHAN ST 24,25 TO 27,DBSS,2011,91 years 10 months,820000,,,,,,,,
2018-11,BISHAN,4 ROOM,290,BISHAN ST 24,04 TO 06,Premium Apartment,1998,78 years 07 months,618000,,,,,,,,
2018-11,BISHAN,4 ROOM,275A,BISHAN ST 24,19 TO 21,DBSS,2011,91 years 10 months,795000,,,,,,,,
2018-11,BISHAN,4 ROOM,264,BISHAN ST 24,04 TO 06,Model A,1992,72 years 09 months,538000,,,,,,,,
2018-11,BISHAN,4 ROOM,304,SHUNFU RD,10 TO 12,New Generation,1985,65 years 04 months,523000,,,,,,,,
2018-11,BISHAN,4 ROOM,445,SIN MING AVE,10 TO 12,Model A,1990,70 years 02 months,562000,,,,,,,,
2018-11,BISHAN,5 ROOM,145,BISHAN ST 11,04 TO 06,Improved,1987,68 years,632000,,,,,,,,
2018-11,BISHAN,5 ROOM,101,BISHAN ST 12,16 TO 18,Improved,1987,67 years 02 months,815000,,,,,,,,
2018-11,BISHAN,5 ROOM,144,BISHAN ST 12,04 TO 06,Improved,1988,68 years 09 months,675000,,,,,,,,
2018-11,BISHAN,5 ROOM,135,BISHAN ST 12,16 TO 18,Improved,1987,67 years 07 months,785000,,,,,,,,
2018-11,BISHAN,5 ROOM,235,BISHAN ST 22,04 TO 06,Model A,1992,72 years 05 months,850000,,,,,,,,
2018-11,BISHAN,5 ROOM,214,BISHAN ST 23,04 TO 06,Model A,1992,72 years 05 months,758000,,,,,,,,
2018-11,BISHAN,5 ROOM,290,BISHAN ST 24,16 TO 18,Premium Apartment,1998,78 years 08 months,813888,,,,,,,,
2018-11,BISHAN,5 ROOM,266,BISHAN ST 24,10 TO 12,Model A,1992,72 years 09 months,650000,,,,,,,,
2018-11,BISHAN,5 ROOM,446,BRIGHT HILL DR,04 TO 06,Improved,1990,70 years 05 months,675000,,,,,,,,
2018-11,BISHAN,EXECUTIVE,135,BISHAN ST 12,22 TO 24,Maisonette,1987,67 years 07 months,1010000,,,,,,,,
2018-11,BISHAN,EXECUTIVE,301,SHUNFU RD,01 TO 03,Maisonette,1985,65 years 08 months,948000,,,,,,,,
2018-11,BISHAN,EXECUTIVE,301,SHUNFU RD,07 TO 09,Maisonette,1985,65 years 08 months,1050000,,,,,,,,
2018-12,BISHAN,3 ROOM,406,SIN MING AVE,10 TO 12,Simplified,1987,67 years 04 months,363000,,,,,,,,
2018-12,BISHAN,4 ROOM,142,BISHAN ST 12,10 TO 12,Simplified,1988,68 years 09 months,450000,,,,,,,,
2018-12,BISHAN,4 ROOM,140,BISHAN ST 12,07 TO 09,Model A,1988,68 years 08 months,525000,,,,,,,,
2018-12,BISHAN,4 ROOM,138,BISHAN ST 12,01 TO 03,Simplified,1987,67 years 07 months,410000,,,,,,,,
2018-12,BISHAN,4 ROOM,126,BISHAN ST 12,10 TO 12,Simplified,1987,67 years 07 months,440000,,,,,,,,
2018-12,BISHAN,4 ROOM,133,BISHAN ST 12,04 TO 06,Simplified,1987,67 years 02 months,470000,,,,,,,,
2018-12,BISHAN,4 ROOM,177,BISHAN ST 13,07 TO 09,Simplified,1987,67 years 09 months,510000,,,,,,,,
2018-12,BISHAN,4 ROOM,181,BISHAN ST 13,10 TO 12,Simplified,1987,67 years 02 months,555000,,,,,,,,
2018-12,BISHAN,4 ROOM,178,BISHAN ST 13,01 TO 03,Simplified,1987,67 years 10 months,515000,,,,,,,,
2018-12,BISHAN,4 ROOM,243,BISHAN ST 22,10 TO 12,Model A,1992,72 years 08 months,650000,,,,,,,,
2018-12,BISHAN,4 ROOM,215,BISHAN ST 23,07 TO 09,Model A,1992,72 years 05 months,590000,,,,,,,,
2018-12,BISHAN,4 ROOM,230,BISHAN ST 23,01 TO 03,Model A,1992,72 years 05 months,535000,,,,,,,,
2018-12,BISHAN,4 ROOM,265,BISHAN ST 24,04 TO 06,Model A,1992,72 years 08 months,518888,,,,,,,,
2018-12,BISHAN,4 ROOM,291,BISHAN ST 24,19 TO 21,Premium Apartment,1998,78 years 06 months,738888,,,,,,,,
2018-12,BISHAN,4 ROOM,272,BISHAN ST 24,01 TO 03,Model A,1992,72 years 08 months,430000,,,,,,,,
2018-12,BISHAN,5 ROOM,136,BISHAN ST 12,01 TO 03,Improved,1987,67 years 11 months,500000,,,,,,,,
2018-12,BISHAN,5 ROOM,181,BISHAN ST 13,10 TO 12,Improved,1987,67 years 02 months,795000,,,,,,,,
2018-12,BISHAN,5 ROOM,273A,BISHAN ST 24,10 TO 12,DBSS,2011,91 years 09 months,980000,,,,,,,,
2018-12,BISHAN,EXECUTIVE,441,SIN MING AVE,10 TO 12,Maisonette,1990,70 years 02 months,990000,,,,,,,,
2019-01,BISHAN,3 ROOM,108,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 09 months,370000,,,,,,,,
2019-01,BISHAN,3 ROOM,176,BISHAN ST 13,10 TO 12,Simplified,1988,68 years 03 months,360000,,,,,,,,
2019-01,BISHAN,3 ROOM,313,SHUNFU RD,07 TO 09,New Generation,1985,65 years 05 months,446000,,,,,,,,
2019-01,BISHAN,3 ROOM,407,SIN MING AVE,04 TO 06,Simplified,1986,66 years 07 months,340000,,,,,,,,
2019-01,BISHAN,4 ROOM,145,BISHAN ST 11,07 TO 09,Simplified,1987,67 years 09 months,470000,,,,,,,,
2019-01,BISHAN,4 ROOM,152,BISHAN ST 11,04 TO 06,Simplified,1988,68 years 11 months,468888,,,,,,,,
2019-01,BISHAN,4 ROOM,122,BISHAN ST 12,10 TO 12,Simplified,1986,66 years 01 month,505000,,,,,,,,
2019-01,BISHAN,4 ROOM,144,BISHAN ST 12,07 TO 09,Model A,1988,68 years 07 months,515000,,,,,,,,
2019-01,BISHAN,4 ROOM,109,BISHAN ST 12,07 TO 09,Simplified,1985,65 years 11 months,500000,,,,,,,,
2019-01,BISHAN,4 ROOM,107,BISHAN ST 12,07 TO 09,Simplified,1985,65 years 10 months,525000,,,,,,,,
2019-01,BISHAN,4 ROOM,126,BISHAN ST 12,07 TO 09,Simplified,1987,67 years 06 months,478000,,,,,,,,
2019-01,BISHAN,4 ROOM,193,BISHAN ST 13,10 TO 12,Simplified,1987,68 years,565000,,,,,,,,
2019-01,BISHAN,4 ROOM,184,BISHAN ST 13,10 TO 12,Simplified,1988,68 years 01 month,560000,,,,,,,,
2019-01,BISHAN,4 ROOM,251,BISHAN ST 22,04 TO 06,Model A,1992,72 years 07 months,618000,,,,,,,,
2019-01,BISHAN,4 ROOM,253,BISHAN ST 22,10 TO 12,Model A,1992,72 years 07 months,648000,,,,,,,,
2019-01,BISHAN,4 ROOM,260,BISHAN ST 22,07 TO 09,Model A,1992,72 years 07 months,568000,,,,,,,,
2019-01,BISHAN,4 ROOM,241,BISHAN ST 22,07 TO 09,Model A,1992,72 years 07 months,600000,,,,,,,,
2019-01,BISHAN,4 ROOM,250,BISHAN ST 22,04 TO 06,Model A,1992,72 years 07 months,550000,,,,,,,,
2019-01,BISHAN,4 ROOM,263,BISHAN ST 22,04 TO 06,Model A,1992,72 years 07 months,535000,,,,,,,,
2019-01,BISHAN,4 ROOM,232,BISHAN ST 22,04 TO 06,Model A,1992,72 years 04 months,550000,,,,,,,,
2019-01,BISHAN,4 ROOM,259,BISHAN ST 22,07 TO 09,Model A,1992,72 years 07 months,614000,,,,,,,,
2019-01,BISHAN,4 ROOM,255,BISHAN ST 22,01 TO 03,Model A,1992,72 years 06 months,568000,,,,,,,,
2019-01,BISHAN,4 ROOM,225,BISHAN ST 23,04 TO 06,Model A,1992,72 years 07 months,530000,,,,,,,,
2019-01,BISHAN,4 ROOM,221,BISHAN ST 23,13 TO 15,Model A,1992,72 years 07 months,610000,,,,,,,,
2019-01,BISHAN,4 ROOM,224,BISHAN ST 23,16 TO 18,Model A,1992,72 years 06 months,630000,,,,,,,,
2019-01,BISHAN,4 ROOM,287,BISHAN ST 24,04 TO 06,Model A,1992,72 years 07 months,548000,,,,,,,,
2019-01,BISHAN,4 ROOM,266,BISHAN ST 24,04 TO 06,Model A,1992,72 years 07 months,548000,,,,,,,,
2019-01,BISHAN,4 ROOM,272,BISHAN ST 24,07 TO 09,Model A,1992,72 years 07 months,625000,,,,,,,,
2019-01,BISHAN,4 ROOM,273A,BISHAN ST 24,31 TO 33,DBSS,2011,91 years 08 months,820000,,,,,,,,
2019-01,BISHAN,4 ROOM,273B,BISHAN ST 24,28 TO 30,DBSS,2011,91 years 07 months,818000,,,,,,,,
2019-01,BISHAN,5 ROOM,138,BISHAN ST 12,07 TO 09,Improved,1987,67 years 07 months,660000,,,,,,,,
2019-01,BISHAN,5 ROOM,166,BISHAN ST 13,07 TO 09,Improved,1987,67 years 11 months,718000,,,,,,,,
2019-01,BISHAN,5 ROOM,293,BISHAN ST 22,19 TO 21,Premium Apartment,1998,78 years 05 months,820000,,,,,,,,
2019-01,BISHAN,5 ROOM,293,BISHAN ST 22,19 TO 21,Premium Apartment,1998,78 years 05 months,700000,,,,,,,,
2019-01,BISHAN,5 ROOM,303,SHUNFU RD,04 TO 06,Improved,1985,65 years 03 months,800000,,,,,,,,
2019-01,BISHAN,EXECUTIVE,187,BISHAN ST 13,10 TO 12,Maisonette,1987,67 years 01 month,950000,,,,,,,,
2019-01,BISHAN,EXECUTIVE,247,BISHAN ST 22,01 TO 03,Maisonette,1992,72 years 07 months,770000,,,,,,,,
2019-01,BISHAN,EXECUTIVE,238,BISHAN ST 22,07 TO 09,Maisonette,1992,72 years 07 months,780000,,,,,,,,
2019-01,BISHAN,EXECUTIVE,231,BISHAN ST 23,10 TO 12,Maisonette,1992,72 years 04 months,930000,,,,,,,,
2019-02,BISHAN,3 ROOM,116,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 10 months,359000,,,,,,,,
2019-02,BISHAN,3 ROOM,307,SHUNFU RD,04 TO 06,New Generation,1985,65 years 02 months,403000,,,,,,,,
2019-02,BISHAN,3 ROOM,308,SHUNFU RD,10 TO 12,New Generation,1984,64 years 10 months,435000,,,,,,,,
2019-02,BISHAN,3 ROOM,308,SHUNFU RD,04 TO 06,New Generation,1984,64 years 10 months,408000,,,,,,,,
2019-02,BISHAN,3 ROOM,24,SIN MING RD,07 TO 09,Improved,1973,53 years 08 months,260000,,,,,,,,
2019-02,BISHAN,4 ROOM,130,BISHAN ST 12,07 TO 09,Simplified,1986,66 years 01 month,460000,,,,,,,,
2019-02,BISHAN,4 ROOM,139,BISHAN ST 12,01 TO 03,Model A,1988,68 years 06 months,450000,,,,,,,,
2019-02,BISHAN,4 ROOM,114,BISHAN ST 12,10 TO 12,Simplified,1986,65 years 11 months,550000,,,,,,,,
2019-02,BISHAN,4 ROOM,111,BISHAN ST 12,07 TO 09,Simplified,1986,65 years 11 months,503000,,,,,,,,
2019-02,BISHAN,4 ROOM,122,BISHAN ST 12,10 TO 12,Model A,1986,66 years,582000,,,,,,,,
2019-02,BISHAN,4 ROOM,123,BISHAN ST 12,13 TO 15,Model A,1986,66 years,598888,,,,,,,,
2019-02,BISHAN,4 ROOM,113,BISHAN ST 12,01 TO 03,Simplified,1986,65 years 11 months,438000,,,,,,,,
2019-02,BISHAN,4 ROOM,124,BISHAN ST 12,01 TO 03,Simplified,1987,67 years 04 months,415000,,,,,,,,
2019-02,BISHAN,4 ROOM,246,BISHAN ST 22,10 TO 12,Model A,1992,72 years 06 months,553000,,,,,,,,
2019-02,BISHAN,4 ROOM,224,BISHAN ST 23,22 TO 24,Model A,1992,72 years 05 months,643000,,,,,,,,
2019-02,BISHAN,4 ROOM,265,BISHAN ST 24,01 TO 03,Model A,1992,72 years 06 months,535000,,,,,,,,
2019-02,BISHAN,4 ROOM,448,BRIGHT HILL DR,04 TO 06,Model A,1990,70 years 02 months,550000,,,,,,,,
2019-02,BISHAN,4 ROOM,309,SHUNFU RD,04 TO 06,New Generation,1984,64 years 09 months,500000,,,,,,,,
2019-02,BISHAN,4 ROOM,406,SIN MING AVE,10 TO 12,Simplified,1987,67 years 02 months,512000,,,,,,,,
2019-02,BISHAN,5 ROOM,140,BISHAN ST 12,07 TO 09,Improved,1988,68 years 06 months,660000,,,,,,,,
2019-02,BISHAN,5 ROOM,158,BISHAN ST 13,19 TO 21,Improved,1988,68 years 01 month,800000,,,,,,,,
2019-02,BISHAN,5 ROOM,155,BISHAN ST 13,04 TO 06,Improved,1987,67 years 09 months,720000,,,,,,,,
2019-02,BISHAN,5 ROOM,293,BISHAN ST 22,10 TO 12,Premium Apartment,1998,78 years 05 months,788000,,,,,,,,
2019-02,BISHAN,5 ROOM,273B,BISHAN ST 24,01 TO 03,DBSS,2011,91 years 07 months,840000,,,,,,,,
2019-02,BISHAN,5 ROOM,273A,BISHAN ST 24,07 TO 09,DBSS,2011,91 years 07 months,968000,,,,,,,,
2019-02,BISHAN,5 ROOM,449,SIN MING AVE,10 TO 12,Improved,1990,70 years 01 month,750000,,,,,,,,
2019-02,BISHAN,EXECUTIVE,119,BISHAN ST 12,01 TO 03,Apartment,1987,67 years 04 months,780000,,,,,,,,
2019-02,BISHAN,EXECUTIVE,301,SHUNFU RD,10 TO 12,Maisonette,1985,65 years 05 months,1028000,,,,,,,,
2019-03,BISHAN,3 ROOM,133,BISHAN ST 12,01 TO 03,Simplified,1987,66 years 11 months,370000,,,,,,,,
2019-03,BISHAN,3 ROOM,115,BISHAN ST 12,07 TO 09,Simplified,1986,65 years 11 months,390000,,,,,,,,
2019-03,BISHAN,3 ROOM,110,BISHAN ST 12,01 TO 03,Simplified,1986,65 years 11 months,380000,,,,,,,,
2019-03,BISHAN,3 ROOM,105,BISHAN ST 12,01 TO 03,Simplified,1985,65 years 09 months,350000,,,,,,,,
2019-03,BISHAN,3 ROOM,403,SIN MING AVE,04 TO 06,Simplified,1986,66 years 05 months,375000,,,,,,,,
2019-03,BISHAN,4 ROOM,146,BISHAN ST 11,01 TO 03,Simplified,1987,67 years 05 months,365000,,,,,,,,
2019-03,BISHAN,4 ROOM,150A,BISHAN ST 11,04 TO 06,Simplified,1989,68 years 10 months,405000,,,,,,,,
2019-03,BISHAN,4 ROOM,107,BISHAN ST 12,07 TO 09,Simplified,1985,65 years 09 months,465000,,,,,,,,
2019-03,BISHAN,4 ROOM,138,BISHAN ST 12,01 TO 03,Simplified,1987,67 years 05 months,339000,,,,,,,,
2019-03,BISHAN,4 ROOM,122,BISHAN ST 12,01 TO 03,Simplified,1986,66 years,400000,,,,,,,,
2019-03,BISHAN,4 ROOM,111,BISHAN ST 12,07 TO 09,Simplified,1986,65 years 11 months,488000,,,,,,,,
